         17603381 function calls (16933937 primitive calls) in 69.669 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.222    0.017 _base.py:1(<module>)
        1    0.000    0.000    0.221    0.221 plate_manager.py:1(<module>)
       41    0.000    0.000    0.220    0.005 dispatch.py:1014(register_binary_elementwise_api)
        2    0.001    0.000    0.219    0.109 array_ops.py:1(<module>)
      968    0.006    0.000    0.219    0.000 __init__.py:2318(find_on_path)
        1    0.000    0.000    0.217    0.217 _fontconfig_pattern.py:1(<module>)
      257    0.003    0.000    0.217    0.001 subprocess.py:807(__init__)
     1036    0.019    0.000    0.216    0.000 PlotDataItem.py:842(updateItems)
        1    0.000    0.000    0.215    0.215 tensorflow_processor.py:1(<module>)
        1    0.000    0.000    0.213    0.213 embed.py:1(<module>)
        1    0.000    0.000    0.212    0.212 ctc_ops.py:1(<module>)
        1    0.000    0.000    0.211    0.211 pyclesperanto_registry.py:1(<module>)
      120    0.005    0.000    0.208    0.002 artist.py:1593(pprint_setters)
        1    0.000    0.000    0.208    0.208 orchestrator.py:1(<module>)
     9135    0.102    0.000    0.207    0.000 inspect.py:875(cleandoc)
        2    0.000    0.000    0.206    0.103 __init__.py:3640(_call_aside)
        1    0.000    0.000    0.205    0.205 __init__.py:3657(_initialize_master_working_set)
    13111    0.012    0.000    0.205    0.000 contextlib.py:141(__exit__)
       25    0.000    0.000    0.203    0.008 exceptions.py:1(<module>)
     4060    0.004    0.000    0.202    0.000 _pslinux.py:1691(_raise_if_zombie)
8306/8061    0.179    0.000    0.200    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.200    0.200 _conv_ops.py:1(<module>)
       72    0.002    0.000    0.200    0.003 utils.py:1(<module>)
        1    0.000    0.000    0.200    0.200 custom_gradient.py:1(<module>)
     3904    0.013    0.000    0.199    0.000 PlotCurveItem.py:297(boundingRect)
        1    0.000    0.000    0.199    0.199 colorbar.py:1(<module>)
        1    0.000    0.000    0.199    0.199 backprop.py:1(<module>)
      257    0.010    0.000    0.198    0.001 subprocess.py:1791(_execute_child)
      769    0.001    0.000    0.195    0.000 dispatch.py:1184(add_dispatch_support)
      769    0.002    0.000    0.195    0.000 dispatch.py:1235(decorator)
      865    0.023    0.000    0.195    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.194    0.194 hill_climbing.py:1(<module>)
13122/929    0.061    0.000    0.194    0.000 _pslinux.py:1701(_parse_stat_file)
     3065    0.005    0.000    0.191    0.000 tf_inspect.py:265(getfullargspec)
   562756    0.188    0.000    0.188    0.000 {method 'startswith' of 'str' objects}
     2820    0.007    0.000    0.188    0.000 pathlib.py:1022(read_text)
        1    0.000    0.000    0.187    0.187 gradients_impl.py:1(<module>)
     3094    0.029    0.000    0.184    0.000 inspect.py:1351(getfullargspec)
    10269    0.013    0.000    0.183    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     6495    0.026    0.000    0.182    0.000 typing.py:1242(__init__)
        1    0.000    0.000    0.182    0.182 dtensor_device.py:1(<module>)
        5    0.000    0.000    0.181    0.036 generic.py:1(<module>)
        1    0.000    0.000    0.178    0.178 unicode.py:1(<module>)
        1    0.178    0.178    0.178    0.178 unicode.py:123(pyparsing_unicode)
     4060    0.009    0.000    0.175    0.000 _pslinux.py:1675(_is_zombie)
